,direction_name,direction_id,year,points
0,27.03.01 Стандартизация и метрология,18.0,2019,176.0
1,27.03.01 Стандартизация и метрология,18.0,2020,157.0
2,08.03.01 Строительство,20.0,2019,177.0
3,08.03.01 Строительство,20.0,2020,152.0
4,08.03.01 Строительство,20.0,2021,140.0
5,08.03.01 Строительство,20.0,2022,125.0
6,08.03.01 Строительство,20.0,2023,140.0
7,13.03.01 Теплоэнергетика и теплотехника,1.0,2019,192.0
8,13.03.01 Теплоэнергетика и теплотехника,1.0,2020,178.0
9,13.03.01 Теплоэнергетика и теплотехника,1.0,2021,149.0
10,13.03.01 Теплоэнергетика и теплотехника,1.0,2022,137.0
11,13.03.01 Теплоэнергетика и теплотехника,1.0,2023,139.0
12,08.05.01 Строительство уникальных зданий и сооружений,21.0,2019,199.0
13,08.05.01 Строительство уникальных зданий и сооружений,21.0,2020,212.0
14,21.03.02 Землеустройство и кадастры,3.0,2019,176.0
15,21.03.02 Землеустройство и кадастры,3.0,2020,158.0
16,21.03.02 Землеустройство и кадастры,3.0,2021,137.0
17,21.03.02 Землеустройство и кадастры,3.0,2022,153.0
18,21.03.02 Землеустройство и кадастры,3.0,2023,165.0
19,27.03.03 Системный анализ и управление,4.0,2019,176.0
20,27.03.03 Системный анализ и управление,4.0,2020,156.0
21,27.03.03 Системный анализ и управление,4.0,2021,201.0
22,27.03.03 Системный анализ и управление,4.0,2022,208.0
23,27.03.03 Системный анализ и управление,4.0,2023,207.0
24,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",22.0,2019,176.0
25,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",22.0,2020,161.0
26,"08.05.02 Строительство, эксплуатация, восстановление и техническое прикрытие автомобильных дорог, мостов и тоннелей",22.0,2022,134.0
27,21.05.03 Технология геологической разведки,24.0,2019,199.0
28,21.05.03 Технология геологической разведки,24.0,2020,148.0
29,12.03.01 Приборостроение,12.0,2019,176.0
30,12.03.01 Приборостроение,12.0,2020,177.0
31,12.03.01 Приборостроение,12.0,2021,137.0
32,12.03.01 Приборостроение,12.0,2022,156.0
33,12.03.01 Приборостроение,12.0,2023,169.0
34,22.03.01 Материаловедение и технологии материалов,17.0,2019,176.0
35,22.03.01 Материаловедение и технологии материалов,17.0,2020,144.0
36,22.03.01 Материаловедение и технологии материалов,17.0,2021,144.0
37,22.03.01 Материаловедение и технологии материалов,17.0,2022,143.0
38,22.03.01 Материаловедение и технологии материалов,17.0,2023,135.0
39,20.03.01 Техносферная безопасность,2.0,2019,192.0
40,20.03.01 Техносферная безопасность,2.0,2020,164.0
41,20.03.01 Техносферная безопасность,2.0,2021,170.0
42,20.03.01 Техносферная безопасность,2.0,2022,151.0
43,20.03.01 Техносферная безопасность,2.0,2023,145.0
44,09.03.02 Информационные системы и технологии,11.0,2019,208.0
45,09.03.02 Информационные системы и технологии,11.0,2020,142.0
46,09.03.02 Информационные системы и технологии,11.0,2021,203.0
47,09.03.02 Информационные системы и технологии,11.0,2022,223.0
48,13.03.02 Электроэнергетика и электротехника,13.0,2019,202.0
49,13.03.02 Электроэнергетика и электротехника,13.0,2020,195.0
50,13.03.02 Электроэнергетика и электротехника,13.0,2021,187.0
51,13.03.02 Электроэнергетика и электротехника,13.0,2022,177.0
52,13.03.02 Электроэнергетика и электротехника,13.0,2023,179.0
53,09.03.01 Информатика и вычислительная техника,9.0,2019,215.0
54,09.03.01 Информатика и вычислительная техника,9.0,2020,159.0
55,09.03.01 Информатика и вычислительная техника,10.0,2019,215.0
56,09.03.01 Информатика и вычислительная техника,10.0,2020,159.0
57,05.03.01 Геология,23.0,2019,201.0
58,05.03.01 Геология,23.0,2020,156.0
59,05.03.01 Геология,23.0,2021,174.0
60,05.03.01 Геология,23.0,2022,145.0
61,05.03.01 Геология,23.0,2023,179.0
62,19.03.04 Технология продукции и организация общественного питания,15.0,2019,184.0
63,19.03.04 Технология продукции и организация общественного питания,15.0,2020,169.0
64,19.03.04 Технология продукции и организация общественного питания,15.0,2021,168.0
65,19.03.04 Технология продукции и организация общественного питания,15.0,2022,132.0
66,19.03.04 Технология продукции и организация общественного питания,15.0,2023,171.0
67,18.03.01 Химическая технология,14.0,2019,212.0
68,18.03.01 Химическая технология,14.0,2020,151.0
69,18.03.01 Химическая технология,14.0,2022,174.0
70,18.03.01 Химическая технология,14.0,2023,162.0
71,43.03.01 Сервис,5.0,2019,208.0
72,43.03.01 Сервис,5.0,2020,242.0
73,43.03.01 Сервис,6.0,2019,208.0
74,43.03.01 Сервис,6.0,2020,242.0
75,43.03.03 Гостиничное дело,7.0,2019,214.0
76,43.03.03 Гостиничное дело,7.0,2020,199.0
77,27.03.05 Инноватика,19.0,2019,202.0
78,27.03.05 Инноватика,19.0,2020,172.0
79,01.03.02 Прикладная математика и информатика,8.0,2020,200.0
80,01.03.02 Прикладная математика и информатика,8.0,2021,212.0
81,01.03.02 Прикладная математика и информатика,8.0,2022,227.0
82,01.03.02 Прикладная математика и информатика,8.0,2023,238.0
83,28.03.03 Наноматериалы,16.0,2021,164.0
84,28.03.03 Наноматериалы,16.0,2023,126.0
