,Зачислен на направление подготовки (специальность),Сумма баллов,Год
0,05.03.01 Геология,133,2014
1,09.03.00 Информатика и вычислительная техника,136,2014
2,09.03.02 Информационные системы и технологии,146,2014
3,12.03.01 Приборостроение,146,2014
4,12.03.04 Биотехнические системы и технологии,113,2014
5,13.03.02 Электроэнергетика и электротехника,158,2014
6,15.03.01 Машиностроение,128,2014
7,15.03.01 Машиностроение,109,2014
8,15.03.02 Технологические машины и оборудование,127,2014
9,15.03.04 Автоматизация технологических процессов и производств,157,2014
10,18.03.01 Химическая технология,145,2014
11,19.03.04 Технология продукции и организация общественного питания,130,2014
12,20.03.01 Техносферная безопасность,115,2014
13,21.03.01 Нефтегазовое дело,124,2014
14,21.03.02 Землеустройство и кадастры,124,2014
15,21.05.01 Прикладная геодезия,110,2014
16,21.05.02 Прикладная геология,131,2014
17,21.05.03 Технология геологической разведки,115,2014
18,22.03.01 Материаловедение и технологии материалов,124,2014
19,23.03.01 Технология транспортных процессов,127,2014
20,23.03.02 Наземные транспортно-технологические комплексы,129,2014
21,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,113,2014
22,23.05.01 Наземные транспортно-технологические средства,109,2014
23,27.03.01 Стандартизация и метрология,109,2014
24,27.03.02 Управление качеством,122,2014
25,27.03.04 Управление в технических системах,126,2014
26,27.03.05 Инноватика,119,2014
27,38.03.02 Менеджмент,130,2014
